"Cluster0","Cluster1","Cluster2","Cluster3","Cluster4","Cluster5","Cluster6","Cluster7","Cluster8","Cluster9","Cluster10","Cluster11","Cluster12"
"FOXC1","FABP4","DOCK4","TP53I11","GFPT2","MEG3","COLEC12","C12orf75","ATP5D","ARL4D","UCP2","RASSF5","RP11-366L20.2"
"LY96","SELM","SCARB1","KIAA0355","MORC4","LRP3","C10orf11","LGALS1","NDUFAF3","LSP1","CYBA","C15orf48","TENM3"
"EGR1","TGFB1I1","BRI3","ATP8A1","CD9","PTPRS","TSKU","COL27A1","ATP5G1","DIO3","DEF6","STK17B","NR4A2"
"HLA-DQA1","LINC00152","CD59","OCIAD2","LOX","DACT1","CADM1","TUBA1C","MGST1","SMOX","EVI2A","ARHGAP4","TSC22D4"
"RAB11A","CCL8","CMIP","LPAR6","UGDH","ANKRD65","PLXDC2","PEG10","MRPL52","FIBIN","LIMD2","FLT3","TSPAN15"
"CXorf36","CEBPB","FAM69B","DOCK9","P4HA2","RASSF2","S100A4","NDUFB7","COPE","LGALS1","MYO1F","CCL3L3","GPR137B"
"SERTAD1","ZNF703","HLA-DMA","SGK1","ANXA1","CYBRD1","AXL","CSRP1","P4HB","FBXO32","VAMP8","ADAM28","STMN1"
"SNCG","H2AFJ","KLHL3","ETS1","S100A11","EFNA5","C1QTNF3","TNS1","PSMA4","SULT1A1","APBB1IP","SCN9A","CD200"
"LHX6","ASAH1","SNHG7","ABCB1","FHL1","PLAGL1","MAFB","BCL7A","PIN4","PRICKLE1","CCDC88B","CSTA","NRBP2"
"C1orf63","SERPING1","CNTNAP3B","STOM","EFS","SERPING1","S100A6","DDIT4","SERPING1","C3orf70","AMICA1","MMP9","ATF3"
"LDLR","GFRA1","GMFG","STMN1","ECM2","ELANE","EMP3","MT-CYB","TCEAL8","FOSB","PBX4","TLR1","PDZD4"
"GIMAP4","COL5A3","AKR1C3","RAPGEF5","MUC12","MFAP4","NOV","RASL11A","ESD","KHDRBS3","ARAP2","ADAP1","NR4A1"
"RAMP2","LAPTM4A","ABLIM1","H3F3A","SH3BGRL3","PTGFRN","ADCY2","FAU","ITGBL1","FMO2","RPLP1","KIAA1598","MRPS6"
"SMAGP","SGIP1","ERG","KCNN3","PCOLCE","ANTXR1","PLEKHF1","MT-ND5","POLR2F","COL21A1","ITGA4","CTD-2020K17.1","CTNNA3"
"ICA1","DPY19L2","RALGAPA2","KIAA1462","UAP1","RND3","COPZ2","MT-ND4L","MMP3","SCD5","RAB37","CYBA","HSPH1"
"PDIA5","MT1M","AGRN","LAPTM5","ANTXR1","IL11RA","RGN","CPED1","COL1A2","NGFRAP1","DUSP2","SLC43A2","HSP90AA1"
"MMP28","SORBS3","LDB2","JUP","F5","COL16A1","BCL6","TP53INP2","ATP6V1F","IGFBP6","MT-CO2","MBP","HIVEP3"
"SPNS2","SUSD2","MFNG","CDC42EP1","COL5A2","SERPINA5","OAF","LGALSL","NAP1L1","SFRP4","SASH3","CPVL","SECISBP2L"
"CD320","CP","NRP1","GIMAP8","S100A6","NGFR","RNASE4","ROCK1",NA,"HSF4","DAPP1","PLCB2","WDR86"
"BRD2","CCL26","CTNND1","CLIC4","ANXA4","MMP14","IGFBP5","SYNM",NA,"RASL11B","DOCK8","CTSS","SORBS1"
"HLA-DMA","DMD","MEF2C","SPRY1","PTGFRN","CD81","LGALS1","PPP1R3C",NA,"KIAA1755","IL1RL1","NFE2L3","PMP22"
"RPL24","MFGE8","LY6E","MYO10","EFNA5","FTH1","COPRS","UQCR11.1",NA,"DDIT4","RPLP2","PSTPIP1","LITAF"
"TIFA","FBXL13","SEMA3F","JAM2","FGFBP2","LAMA2","ANG","ARHGEF17",NA,"FAM84A","FXYD2","HCLS1","EGR2"
"CSRNP1","ATP8B4","MEOX1","SAT1","SMIM14","GGT5","TRIM29","BRD2",NA,"FXYD1","IPCEF1","PTPRE","TUBA1A"
"RPS19","AXL","GIMAP8","NRARP","PTN","CPQ","C1R","SEPT4",NA,"JUND","MEI1","PLAUR","DUSP14"
"PLK2","C1S","FGD5","TCF15","CHPF","FXYD1","CFD","ATF3",NA,"MME","BCL2A1","RASGEF1B","TXNL4B"
"MYO5C","CHRDL1","SHROOM4","CDH13","HAS2","TIMP2","LTBP1","MYOM1",NA,"TMEM98","RASSF5","VIPR1","SGCD"
"KANK3","ATP5G3","ST6GAL1","CDC42BPA","SCARA3","OLFML2B","ZFHX3","MT1M",NA,"PDXK","ITGB7","CXCR4","FUT8"
"RPS3","MTHFD2","RNF125","PTP4A3","RGS10","F10","CPE","KCNE4",NA,"SERPINF1","MAP4K1","PTPN6","IGSF1"
"EFNA1","SNTA1","KIAA0355","BTG1","RGCC","NOV","ISLR","FAM46B",NA,"ANGPTL4","RPS12","RGS10","LRCH3"
"CLIC2","HGF","IL1R1","GFOD1","TIMP2","GDF10","VASN","PPP1CB",NA,"CEBPB","RPS19","SNX10","DNAJA1"
"EEF1B2","NT5DC2","VAMP5","LSMD1","ZFHX4","TMEM100","C1S","PDE4C",NA,"LGALS3BP","RPL13A","CXCL16","FXYD1"
"H2AFZ","AGT","NFE2L1","COL21A1","ANPEP","RAB3IL1","ABI3BP","DTNA",NA,"SLC9A3R1","IQGAP2","SRGN","FAM19A5"
"ENG","TMEM119","PERP","NDRG4","ARL6IP5","THBS2","LTBP3","ILK",NA,"CPED1","RPS21","HLA-DQA1","ABCA2"
"ADAMTS9","RASL12","NCOA7","AFAP1L2","HTRA1","COL15A1","NPC2","INPP4B",NA,"LRRN4CL","OXNAD1","PILRA","SLC2A1"
"ZC3HAV1","ST5","LTC4S","CEP68","COLGALT2","CALD1","HOXA10","INTS6",NA,"PDZRN4","LPXN","GNG2","LDLRAD3"
"EIF4A1","PLTP","ETS2","EFCAB14","CLEC3B","PCDH18","JAK2","CCDC3",NA,"DKK3","HPGDS","TNFRSF11A","RASGEF1B"
"EMCN","MOCS1","DAAM1","MGLL","COPZ2","G0S2","LRP6","EGFLAM",NA,"EGR3","TCF7","GPR65","NEK1"
"LPAR6","PLAC9","BMPR2","MGST2","GOLIM4","CRABP2","HRCT1","HRC",NA,"RASSF8","CLEC2D","GPSM3","TWISTNB"
"DDIT3","SSTR2","EPB41L3","ATP1B3","MATN2","SIX1","COL1A2","CCND1",NA,"COL1A1","RPL27A","TGFBI","NFASC"
"HLA-DQB1","MNDA","FOXP1","BCL6B","DCLK1","PRRX2","SPON2","MT-ND3",NA,"MARCKS","AQP3","FGL2","MEGF9"
"SH3BGRL2","ENAH","RPS6KA2","CRYBG3.1","PLBD1","RCN3","ANKRD35","FBXO32",NA,"TIAM1","LAT2","P2RY6","RP4-798A10.2"
"GATA2","PFDN5","GNAI2","MCTP1","REXO2","TIMP1","INHBA","MICAL1",NA,"CFH","RPL41","TLR6","ITM2C"
"FAM84B","CYFIP2","ZNF385D","PCDH1","LTBP3","LGALS1","FAXDC2","MSRB3",NA,"GDF11","SEMA4D","CD83","KCNQ1OT1"
"GBP1","LPHN3","NET1","GIMAP4","PALM","GSTM5","LAMA2","PALLD",NA,"JUN","P2RY8","DUSP2","SERPINB9"
"TNFAIP3","QPRT","KTN1","EMP2","BIN1","CDK14","NEDD4","FILIP1",NA,"LAPTM4A","APOBEC3G","ADRBK2","SDC4"
"ARL6IP1","TWIST1","L1CAM","CD46","LGALS1","PLBD1","CAPG","CABIN1",NA,"C12orf57","MYBL1","PIK3CG","MLF1"
"AC116366.6","CRISPLD2","CCDC85B","IFITM2","AGAP1","IGFBP7","PLEKHH2","JUN",NA,"PLEKHA4","HIVEP3","HLA-DQB1","INF2"
"GUK1","ITGB5","ARGLU1","CD320","HSPB8","PLEKHA4","CKB","ANGPTL4",NA,"BEX4","RPS15A","SMAP2","ARNTL"
"PSMB8","CD4","HLA-DQB1","EDN1","NTM","PHLDB1","LTBP4","RPL14",NA,"CRISPLD1","ATP2A3","SLC7A7","ANKRD13B"
"LY6E","CYGB","TMOD3","LRRFIP1","CRTAC1","PPAP2B","FHL1","NRARP",NA,"CTH","BTK","ADCY7","DNAJB1"
"MALL","VCL","GNAQ","CP","EZR","ANXA5","SSPN","INPP5A",NA,"ARC","RPL21","COTL1","RCAN1"
"PCDH19","GRID1","FBXO31","FLT1","CALU","CD302","CYS1","CRYAB",NA,"NR1H3","RPS27A","HLA-DMB","EIF1"
"ATP1A1","TBX2","PRSS23","ANKRD29","PDGFC","PLTP","SIX1","ERBB3",NA,"FAM43A","EML4","UCP2","WSB1"
"SHANK3","DLX5","CDC25B","AC007246.3","MYOC","HIC1","SLC9A9","COX4I2",NA,"TSHZ3","TNIK","RASSF4","TSPAN8"
"UBB","PTGER3","ALDH1A2","CASKIN2","PDE4DIP","NFIA","SEMA3E","TRAF5",NA,"NHS","SORL1","HLA-DRA","GLIS3"
"NASP","EPHX1","ARHGAP31","PPARG","MAP1A","MEDAG","PITX1","MAPRE2",NA,"CXCR4","RPS20","NPL","DNAJB2"
"SELP","HNMT","SPNS2","CTSH","COL8A1","ITM2A","FAM129A","CYR61",NA,"ZNF331","HIST1H2AM","ARHGAP22","SCCPDH"
"SOX7","FMO2","SHE","TEK","CDK2AP1","NTRK2","FAM3C","OAT",NA,"RNF24","CD97","PPIF","CIT"
"SRSF2","PRKG1","LMCD1","SYNPO","PFKP","MFAP2","KLHL29","CSRP2",NA,"CMYA5","NCKAP1L","CEBPA","PRDM11"
"MMRN2","PLEKHH3","CDC37","AMD1","PLXDC1","MAFB","LHFPL2","SLC7A2",NA,"MFAP5","AC006129.2","UNC93B1","RP11-161M6.2"
"FLI1","TRPC6","TAGLN2","NPR1","FAM134B","PKDCC","RBP4","MYLIP",NA,"CTSK","RPL23A","RPS6KA1","DMD"
"MCTP1","TBX3","GJC2","FABP5","C1S","ADAMTSL3","CTDSPL","POU3F1",NA,"FZD7","EMP3","HMHA1","KDM6B"
"MAP3K8","SH3PXD2A","ESAM","SWAP70","PLP2","NOTCH2","GSTP1","TLN1",NA,"CRABP2","RPSA","SLC7A8","TOB1"
"PDE2A","HRH2","ABCD4","JUNB","FBLN2","S100A4","P4HA1","TTLL7",NA,"INMT","RGS1","RAB11FIP1","FTH1"
"CFI","HOPX","NOTCH1","SRSF7","SIX2","FSTL3","ANXA4","PLEKHO1",NA,"MMP2","PTGER2","PYCARD","ACER3"
"YPEL2","FRMD3","TPM3","GRASP","CD44","GLIS2","COL6A2","RPL23A",NA,"SMO","TGFB1","DOCK10","JUND"
"TNFRSF10B","LIN7A","MYO5C","BCAM","CMTM3","BOC","COL6A1","PLAC9",NA,"DENND2A","RPL30","HLA-DPA1","FAM102A"
"ZC3H12A","NUDT4","TACR1","ECSCR","SDC4","GAS1","FAM134B","LITAF",NA,"CYB5A","HPGD","C4orf48","CALM2"
"FLT1","FOXS1","PTK2B","CPNE2","DENND2A","CD276","VPS13D","A1BG",NA,"RNASET2","RPS3","PLEKHO1","MT-CO3"
"ZNF467","TNS1","ELOVL7","RAPGEF3","DST","FMNL2","ABCA6","PNRC1",NA,"PTPN9","SH2D1A","KBTBD8","LPIN1"
"NET1","GJA4","FRYL","FKBP1A","VIMP","NUCKS1","S100A13","S100A4",NA,"AMD1","RCAN3","BCAT1","RP1-155D22.2"
"SPARCL1","COL25A1","TPO","HIF3A","CST3","PTGIR","CCPG1","EGR1",NA,"ITGBL1","C4orf48","PTPLAD2","NEBL-AS1"
"HNRNPF","LBH","FRMD4B","MYCT1","VASN","GSTM3","COL16A1","ANXA6",NA,"PDGFRA","RPL18A","HLA-DRB1","ATCAY"
"PDK4","HSPB7","GFOD2","PPAP2C","CD63","HNMT","LIMA1","TUBB2B",NA,"WNT6","SLC9A3R1","HLA-DPB1","HSPA4L"
"FXYD5","ITGA1","GNG5","FDPS","PMP22","IGFBP3","PLS3","ARPC1A",NA,"HERPUD1","PIK3CD","ENHO","ID4"
"HYAL2","PCDH9","LPAR6","FLNC","RBP4","MT1M","OXCT1","FAM162B",NA,"RDH10","MT-ATP6","PTGS2","DUSP8"
"CTSH","SGCE","MACF1","PRMT1","MXRA5","ALDH1A1","NFIC","LINC00989",NA,"RASD1","NFKBID","CD48","HSPE1"
"LTC4S","RASD1","KANK3","EPHA4","RAB23","ANKRD35","XBP1","RPL37A",NA,"GAB1","HCLS1","ATP1B1","SRGAP2"
"ARL5B","RASGRP2","FLT1","KIAA1671","PAM","EMILIN1","FAM114A1","UQCRB",NA,"TNS3","CAPN12","ST8SIA4","TRPM3"
"TESC","GEM","LRRC8C","FOSL2","TMEM54","LRRN4CL","FZD1","HSPB8",NA,"NR4A2","S100A4","CPM","MT-CO2"
"PKP4","FAM13C","PGM5","CSNK1A1","AP3S1","LAMA4","AR","RPLP1",NA,"SERTAD1","NCF4","SUCNR1","TMEM67"
"SLC3A2","SDC2","ARHGAP29","PTPRM","DKK3","STXBP6","CPED1","SMOC2",NA,"FSTL3","FMN1","CCR7","HSPA1A"
"PMAIP1","PEBP1","STARD9","MLLT4","C1R","NFIC","RAB34","CTDSPL",NA,"PRNP","MT-CO3","HMOX1","SERTAD1"
"TGFBR2","LDHB","ABI3","MEF2C","SSPN","SELENBP1","CDKN1C","CENPL",NA,"UBE2S","CYLD","CD74","AFAP1L2"
"RBM8A","EDIL3","PHKB","TUBA4A","PPAP2A","COL5A1","EPB41L2","RASL11B",NA,"ACADL","HIST1H1D","COLEC12","DNAJC27"
"MYCT1","CHN1","CARD16","SORBS2","COL16A1","TMEM176B","ZDHHC14","PPP1R12C",NA,"IRF8","MT-CO1","FAM49B","NR2F1"
"IL1R1","PDE1C","SUN1","WARS","SOD3","BHLHE41","CAMK1D","CAMK2G",NA,"RGCC","RPS25","LPXN","SDC3"
"NEAT1","NUCKS1","HLA-F","SLFN5","RAB32","CHPF","MEGF6","ACTN4",NA,"FKBP5","SH3BGRL3","SH2B3","TMEM117"
"HHEX","CYP26B1","MCF2L","RPS6KA2","RND3","SCPEP1","FTL","JAG1",NA,"FRMD6","PFN1","EAF2","PNRC1"
"TAP1","CTD-2536I1.1","CPD","HSPA12B","CD276","SGCE","HTRA1","LGI4",NA,"GLUL","RPL38","PAK1","LRRTM2"
"NAMPT","RPS8","PCDH19","PCSK5","CA5B","FBXO17","GAS6","SNTA1",NA,"TIMP2","FAM102A","NR4A3","FHOD3"
"ELOVL7","ITGB1","MFSD6","SERPINE2","NDFIP1","EGFR","ABCA5","SPECC1",NA,"PLOD1","REL","PTPN22","PLA2G16"
"STMN1","MYOM1","ARHGEF15","RIN2","MGP","FSTL1","SLC39A14","UBB",NA,"SH3PXD2A","LSP1","LILRB3","TUBB2A"
"TRIM25","GNAI1","MET","MX1","SLC39A14","RAB34","NOTCH2","U1",NA,"SPRED2","EVL","CD14","TNFRSF25"
"CCL23","DKK3","PIK3C2A","ADRB2","ACTB","HMCN1","SNHG18","PTEN",NA,"MAP9","UBA52","LYN","MAN2A2"
"ROBO4","PHLDB2","CNOT6L","RAPGEF2","IGF1","CAB39L","DDR2","HNRNPA1",NA,"RBMS3","RPS15","HLA-DMA","DOCK5"
"PALMD","MT1A","POLE4","PTPRB","SUSD5","TYMP","MGST1","SAP18",NA,"TCEA3","TMC6","CST3","DST"
"TRA2B","CCL2","IKBKB","RSAD2","SLC39A13","C12orf57","SLC43A3","RPS16",NA,"NANOS1","FAM65B","LPAR2","ZFAND5"
"RASIP1","HRC","THSD7A","IQCK","MFAP2","FGF7","MBOAT1","ID3",NA,"EFNB1","RP1-313I6.12","MFSD1","ZFAND2A"
"TSPAN12","MPRIP","TMCC3","BTG2","GLT8D1","NEO1","DIXDC1","PPDPF",NA,"GAREM","BIRC3","ARHGAP18","AC009501.4"
"MIDN","AVPR1A","PLCB4","ELK3","DSE","JDP2","BAMBI","NME4",NA,"BTG2","CYTH4","CTSZ","PRKCA"
"TMEM70","KLHL23","SLFN5","OAS2","HM13","SMS","PPP1R3C","NFASC",NA,"DDIT4L","GNLY","CCDC88A","ASPA"
"HID1","SEPP1","EPAS1","LRRC8A","CLU","CDON","EDIL3","MAP2",NA,"PPAP2B","AKNA","CD4","NFIL3"
"RP11-396F22.1","SYNGR1","WNK1","RAPGEF1","TSKU","COL12A1","DCXR","SLC25A4",NA,"TUBB4B","CYFIP2","APBB1IP","H2AFZ"
"ZNF385D","PDE3A","CARD10","CDC37","LIMCH1","SPATS2L","ITGB5","MYC",NA,"ADD3","CLK1","IL2RG","SAT1"
"EVA1C","RCSD1","C10orf10","PKN3","CERS4","GPX4","ADD3","AK1",NA,"C1S","SLC7A5","ME1","UBE2S"
"ITPR1","BST2","WWP1","ADIPOR2","COL14A1","NDN","C12orf57","SORBS1",NA,"TCEB2","DOCK10","ETV5","COL9A3"
"HEXIM1","CD63","POSTN","VASH1","AK1","HAS2","MALAT1","MTRNR2L2",NA,"EIF4A3","FAM110A","EMP3","MT-ATP6"
"KB-1732A1.1","HTR1F","PLEC","SERTAD4-AS1","PLAGL1","MEOX2","GHR","COX6C",NA,"PLAC9","ATM","PREX1","TOX"
"CHORDC1","RPL10A","SORBS2","KANK3","PLXDC2","ALDH2","IRS2","HSPB2",NA,"AES","RPL35","C2","ZBTB1"
"DNAJB6","CADM1","NPC2","IFNAR2","DDAH2","FST","JDP2","RERG",NA,"OLFML3","TPT1","OAZ1","PLAG1"
"EDN1","ENPEP","TMTC1","ALS2CL","SPON2","DNM1","HTRA3","SELM",NA,"COL1A2","ARRB2","GK","DYNLL1"
"PRKCH","HIC1","ARHGEF3","FAM69B","PDZRN4","BNC2","ARL6IP5","H2AFX",NA,"SLC16A1","FCER1G","SORL1","BMP8B"
"SSH1","ZYX","HDAC7","PIK3C2B","NOTCH2NL","AEBP1","CACHD1","ARHGAP10",NA,"SCARA5","RBM38","HLA-DQA2","HERPUD1"
"CKS2","MAP9","FAM167B","IFIT3","SGCD","SH3PXD2B","GSTM5","C12orf65",NA,"SPATA6","TAGAP","MT-CO2","GABRA2"
"SCN1B","NR2F2-AS1","C21orf91","PSMB9","EMILIN2","KANK2","CD99","ANGPT1",NA,"ECHDC2","OSBPL3","GAS2L3","GAMT"
"CARD10","RAB31","CRIM1","LEPROTL1","TGFBR1","TWIST1","BICC1","TGFB1I1",NA,"FAM110B","RHOF","CXCL2","SERTAD2"
"SLCO4A1","EMX2OS","HOXB7","TM4SF18","GDF10","ARHGAP6","CEBPD","MIF",NA,"CHPT1","TTC39C","CKLF","FMNL2"
"ID2","SH3RF1","LPHN2","SHE","CD81","RNASE4","CDR2","GSTP1",NA,"NPPC","CD44","RBPJ","BCL2"
"CCDC69","RHOQ","CDC42EP3","DDIT4","FEZ1","CES1","PTPN14","CD82",NA,"VEGFA","IGLL5","TGFB1","PPP2R2B"
"C1orf115","NEURL1B","GPR124","PRKCH","SERPING1","FBLN2","PKD1","NANOS1",NA,"NR4A1","NCF1","MAP2K1","B4GALNT4"
"GMFG","MAML2","SNORD3A","THBD","ABCA8","KIAA0101","TP53I13","PTK2",NA,"MXRA8","TNFRSF25","LUCAT1","GRIK2"
"LDB2","TIMP3","MAP3K1","GPR146","SLC1A4","OAT","HDLBP","HES1",NA,"PARD3B","RPL13","RASSF2","PCF11"
"C4orf32","KIRREL","NRP2","RASIP1","GALNT16","GAB1","PDLIM2","CBX6",NA,"CD81","RNASET2","TYMP","MAF"
"KBTBD2","NR2F1","XAF1","MCC","PSAP","PSAP","FGFR1","TUBB2A",NA,"PID1","MT-ND4","PAG1","C2orf88"
"AC061992.2","MITF","PODXL","AP1S2","NTRK2","VIM","H2AFJ","ZNF703",NA,"GAS7","AIM1","CCDC88B","CCSAP"
"GNAI2","CTSC","DOCK9","GIPC2","PCDH7","TPST1","NUCB2","COX6A1",NA,"LMO4","RPL27","CCRL2","RAB3IP"
"RALGDS","RALGPS2","MBNL1","C1orf54","CTSB","TRPS1","DSTN","SIPA1L2",NA,"CEBPD","ACP6","GPR137B","BTG1"
"PREX2","RP1-79C4.4","SDPR","SOCS2","ENO1","NRP1","REXO2","PTPLAD2",NA,"SPINT2","MT-ND3","RCSD1","KAZN"
"FAM110D","NDN","CTA-134P22.2","GMNN","CHPT1","STMN3","WIPF1","RPL3",NA,"PEAR1","SEPT6","ARID3A","FRMD8"
"CSF2RB","SPARC","RAPGEF5","DACH1","EMP1","AES","TMEM214","NOL3",NA,"TSC22D1","ZNF331","AP001055.6","LIMCH1"
"EPHB4","GPM6B","GIMAP2","GADD45A","CELF2","NFIB","MT2A","RPL27A",NA,"FSCN1","TLR6","RELT","PRNP"
"TCP1","VGLL3","CTSH","LRRC32","ZFHX3","DDAH2","ANK2","TWSG1",NA,"IER5L","RPL11","SULT1A1","QKI"
"CSF3","TMEM159","CCM2L","PPP1R2","SFRP2","FN1","FOXO3","SVIL",NA,"OGFRL1","RPS10","CXCL3","GLUL"
"NUAK1","PPP1R12A","KLF8","FLI1","NDFIP2","NBPF10","CMBL","RPL10A",NA,"PIK3R1","ST8SIA4","FTL","FIGN"
"SEMA6A","ITM2C","GRB10","CTNNB1","AUTS2","RASSF4","SDC4","SRSF7",NA,"HBEGF","MIR29A","MAF","DNAJB6"
"CDC37","COL5A2","CADPS2","C8orf33","CYB5R3","C7orf73","ARSB","SERPINI1",NA,"TFRC","LST1","MT-CO1","HSPA1B"
"CYB5D1","LITAF","TSPAN12","PLK2","ADD3","PLEKHA5","MCEE","CCDC107",NA,"CGNL1","FGD2","GMIP","SLC35F1"
"PVRL2","RPL14","PHACTR2","KLHL5","SNX21","FAM129A","SLC16A7","H2AFZ",NA,"BNIP3L","ARHGAP4","TNFAIP2","ELL2"
"AKR1C3","STXBP6","TAPBP","ARHGEF15","SGCB","RAB31","HLF","NR2F2",NA,"RGS2","PDE7A","OSBPL3","CEP97"
"GPR56","SNHG18","DNM3","ELF1","IL16","WNT11","ELL2","TUBA1B",NA,"GSTM5","BTG1","STAB1","THBS1"
"CYTH1","CCL13","PRKCH","GIMAP5","RTN4","CENPF","RBMS3","COX7B",NA,"SEMA5A","PTPN6","PHLDA2","ZNF516"
"ZFAS1","UBA2","STOX2","ARGLU1","PKDCC","RBMS3","GFPT1","LMO4",NA,"CLIC3","GOLGA8B","DNAJA4","CELF2"
"SMAD1","EBF1","TNFRSF1B","C14orf37","SYNM","ATP6V0D1","GDF10","COX8A",NA,"CHRDL1","RPL18","SLC17A9","CLDND1"
"MIR22HG","PEG10","SULF2","MCF2L","RNH1","CYP27A1","LHFP","HSDL2",NA,"NDN","ALOX5","MCOLN1","SETD5-AS1"
"LPCAT4","ZNF503","TSPAN18","IFNGR1","EFEMP2","PTGER4","LIMCH1","GAMT",NA,"HMGCS1","AAK1","ZEB2-AS1","PEBP1"
"TM4SF18","SH3BGRL","EHD4","LY6E","FAM3C","SNX21","SETBP1","MRPS6",NA,"ARHGAP10","ATF7IP2","LSP1","HSPA5"
"SLCO2A1","ANXA6","PPP2R5A","DUSP6","ADAM9","NME4","FAT4","PLK2",NA,"SNHG12","MT-CYB","SNCA","LHPP"
"SDE2","RPS16","MSN","WNK1","SOX9","SH3KBP1","OSBPL9","NGFR",NA,"ZDHHC9","RPS7","LGALS9","MARCKSL1"
"GIMAP5","CFH","CSF2RB","C10orf54","THBS2","ASPM","IDS","PRKCDBP",NA,"SREBF1","RPL14","TPP1","NPTX2"
"BAIAP2","PTGER1","AHNAK","CMTM8","FAM20C","NBPF1","PMP22","C7orf50",NA,"TUFT1","FERMT3","MAFB","SEMA5A"
"VWA1","COL4A1","BAZ2B","APP","RAB34","FKBP5","NDN","PLEKHH3",NA,"EPDR1","SPINT2","CELF2","FGF1"
"TSPAN18","CBX6","MAP3K11","SPARCL1","RHOQ","UQCC2","STK24","RP11-727F15.9",NA,"SSPN","RPL37","PMAIP1","RP11-379F4.4"
"DUSP6","RAP2A","LPCAT4","ITSN2","C12orf75","ROBO1","PSAP","PDLIM7",NA,"FOS","HMHA1","PDGFC","TMED6"
"CYSLTR1","F10","SPTLC2","ARHGAP31","FYN","FTL","ANKH","RP11-796E2.4",NA,"MYLIP","RP5-821D11.7","NAGA","GPR155"
"HOTAIRM1","CHRD","FAM171A1","MAP4K3","HOXC10","CDK2AP1","SUN2","POLR2A",NA,"ERBB2","ST3GAL5","DOCK5","MT-ND4"
"EIF4A2","PODN","ZNF467","IL3RA","DDR2","SREBF1","PPAPDC1B","DNAJB1",NA,"H1FX","RPS18","TAGAP","RP11-312O7.2"
"RSRC2","EPB41L2","TNFRSF1A","RALB","ANGPTL1","FAM3C","PGRMC1","IER2",NA,"CD63","CDC42SE1","B3GNT5","CUBN"
"UGCG","ARHGAP10","FAM105A","ITPKB","CDON","ARHGAP21","CES1","METTL12",NA,"PHLDA3","SLC38A1","NBPF10","SERPINE2"
"MCF2L","RPL13A","NOP10","HLA-F","OLFML3","PALLD","RND3","ARID5A",NA,"CBR1","PSTPIP1","SLC4A7","SYNM"
"PITPNC1","SPECC1","ACACB","RPIA","TMEM167A","SETBP1","MAP1A","BTG1",NA,"SOBP","TSPYL2","ITGA4","RBM38"
"LIMS1","HOXC9","CCDC50","ERG","FKBP10","SMARCA1","RUNX1","CTD-2105E13.13",NA,"PTPN13","RAB11FIP1","GPX1","LINC00982"
"RALGAPA2","DTX3","DGKH","VPS37B","CPQ","KLF5","CAB39L","NR4A1",NA,"EGR2","ZNF141","OGFRL1","DDX5"
"RP4-549L20.3","FHL3","TLL1","TXNIP","PPP1R14B","ADH1B","ANXA5","CRTC3",NA,"STMN1","RNF213","SLC15A3","EFNB2"
"TPO","TMEM38B","NFAT5","NSUN6","CD47","C5orf15","SDC2","SLIT3",NA,"A4GALT","PLXNC1","NUP214","TSC22D2"
"SGK1","RAB34","STAB1","MAPK3","ADAMTS5","CMTM3","SESTD1","MT2A",NA,"GOLIM4","GBP5","ACP5","RNF24"
"ADM5","RPL6","PIEZO1","KDR","STEAP1","TMEM55A","CYR61","CRISPLD2",NA,"ISLR","KIAA1551","PRKACB","PTP4A1"
"FABP5","RP11-332H18.4","CYSLTR1","ABHD17A","CKAP4","RAB30","HM13","KIAA0040",NA,"KCTD9","JOSD1","TMEM106A","HSPA2"
"HOXB7","GSC","HLA-DQA2","HSPA2","TMEM100","NNMT","FZD8","PCSK7",NA,"C12orf23","CASP8","SERPINB8","EIF5"
"MTUS1","LDB3","CEP68","FLNB","CLTB","FAT1","DST","SNHG12",NA,"ARHGEF25","PTPN4","LONRF3","MAPRE1"
"ZFP36L1","CLEC11A","MAGI1","POMP","TIMP1","LTBP3","KAT2B","ATP5L",NA,"LTBP3","FAU","PLEKHB2","HES4"
"UBE2D3","ATP1B1","MAML1","ADCY4","P4HB","NR3C1","METTL7A","ALDOA",NA,"TIMP1","TUBA4A","BASP1","CEP152"
"NDRG1","DLC1","ABCB1","IFIT1","PDGFRB","EIF2B3","DYNLT3","FZD7",NA,"SOCS1","RNU11","SGMS2","KLF15"
"CPXM2","DAAM2","HOXB3","MAGI1","DYNLT1","IL16","RBPJ","NDRG2",NA,"APOBEC3C","TMEM238","SLC8A1","HBEGF"
"LYST","PHLDB1","FLOT2","TJP1","IFI27L2","ANXA2","RFNG","VCL",NA,"BMP2","TMEM120B","EFHD2","TNS3"
"FAM198B","ADAM33","PCDH1","ARPC5L","FGL2","TMEM150C","DNM1","MAP7D3",NA,"KIF22","CISH","GPRIN3","MALSU1"
"MAP3K11","EPN2","APOL1","PTPN12","PRRX1","LRRC17","SND1","HMGN2",NA,"NCKAP5L","GLIPR1","TNFAIP8","SVIP"
"SYNE2","RBPMS","TTC19","LYL1","KIF21A","NAV1","RTN4","RHOB",NA,"DCBLD2","TSEN54","MTSS1","PIK3R1"
"LUZP1","CTSD","GRASP","FES","ANXA5","PMP22","ZNF704","TUBA1A",NA,"CELF2","HECA","ANKRD44","CPM"
