"Cluster0","Cluster1","Cluster2","Cluster3","Cluster4","Cluster5","Cluster6","Cluster7","Cluster8","Cluster9","Cluster10","Cluster11","Cluster12"
"HES1","INPP4B","HYAL2","SLC6A6","BASP1","SVEP1","KIAA1715","PTP4A3","C2orf40","SBSPON","EMB","MRC1L1","PLP1"
"H3F3B","NEXN","SPARCL1","SRP14","CAB39L","C1S","GPX3","PHLDA2","RPL26","PI16","PYHIN1","IL10RA","FOLH1"
"HSP90AB1","CD36","HLA-DRB1","LAP3","COL8A2","LUM","PIEZO2","PTPLA","MGP","VIT","IL2RG","LILRB5","CYP2J2"
"HLA-DPA1","EDNRA","CALCRL","ARL15","GAS7","PTCH2","KERA","RASGRP2","SFRP2","OGN","PRKCB","DOK2","GPM6A"
"TSPAN7","SEMA5A","ITGB4","GPR116","CSPG4","COL6A3","SHOX","LBH","RPL35","PLEKHB1","FYB","GPR34","CADM2"
"HSP90AA1","HSPB6","DUSP23","HLA-C","ITGA11","COL1A2","ZFHX4","MYOCD","CD63","CYP1B1","GATA3","FPR3","ILDR2"
"SPHK1","ARHGAP15","ELK3","IL32","CD70","BICC1","USP53","DACT3","C12orf57","ABCA10","C16orf54","CD84","SORCS1"
"BCAM","MAP1B","A2M","TMSB10","PAMR1","PCOLCE","MEG3","SLC38A11","PLAC9","FGF1","PARP15","FGD2","GJC3"
"EIF1","MYO1B","FLI1","RBP7","MEG3","OGN","OGN","RASL12","RPS6","ELFN2","CD7","LILRB2","ITGB8"
"ETS2","HES4","ARL4A","AC004540.4","WNT11","VIT","DCN","HAPLN2","RPL6","SHISA6","CD6","CYTH4","GAS2L3"
"KLF10","PARM1","PIM3","ATP2A3","MAMDC2","CDH11","MYO1D","NOTCH3","RPL13A","SLC6A13","LY9","C3AR1","CADM4"
"AQP1","FHL5","ITGA5","EFNB2","C6orf132","CLEC11A","MFAP4","ATP1A2","RPS11","ABCA8","SYTL1","MRC1","FMN2"
"STC1","TGFBI","CDH5","CDH5","PRELP","THY1","LRP1","FRK","CHAD","ENPP6","IKZF1","CD86","PCSK2"
"HSPA8","COX4I2","MALL","IGFBP3","DNM1","GPNMB","OLFML3","REEP1","RPL35A","ETV1","ZAP70","RETN","CNTF"
"EGFL7","SLC7A2","HLA-B","LEPR","ASPN","F3","SCARA3","LINGO1","TAGLN","MIA","SH2D2A","NCF2","CDH2"
"RPL34","ITGA7","IGFBP4","SOX18","HSD3B7","SPON2","MT1X","ITIH5","RPS25","FGFR2","GRAP2","AMICA1","GLDN"
"HSPH1","ANGPT1","MT-CO3","ID1","GPR133","DCN","AEBP1","HES4","RPL37","CST1","LINC00861","GPR183","DLX2"
