"Cluster0","Cluster1","Cluster2","Cluster3","Cluster4","Cluster5","Cluster6","Cluster7"
"OSR2",NA,NA,NA,NA,"TUBA1B","ARPC3","HSPB1"
"SPG7",NA,NA,NA,NA,"HLA-E","SERPINB8","KIAA0355"
"MAFF",NA,NA,NA,NA,"PPP1R12C","CLIC1","RBPMS"
"PFKFB3",NA,NA,NA,NA,"ROCK1","S100A10","TFPI"
"AHNAK2",NA,NA,NA,NA,"RHOB","CFL1","IFITM2"
"EIF4A2",NA,NA,NA,NA,"SPRY2","NFKB1","ZFP36L2"
"TBCD",NA,NA,NA,NA,"B4GALT3","TNFAIP2","PSMB9"
"EPS8L2",NA,NA,NA,NA,"CCNL2","STX3","EVA1C"
"SUN2",NA,NA,NA,NA,"LENG8","GM2A","TAP1"
"AMPD2",NA,NA,NA,NA,"ASAP1","CMTM6","SLFN5"
"MBNL1",NA,NA,NA,NA,"ENSG00000266402","CTSC","PPP1R13B"
"LAMP1",NA,NA,NA,NA,"IFITM2","RHOG","NECTIN2"
"MEDAG",NA,NA,NA,NA,"MACF1","NPC2","PGF"
"ENSG00000229645",NA,NA,NA,NA,"RRAD","GPR137B","ADM5"
"ARC",NA,NA,NA,NA,"NRP1","VASP","PSMB8"
"ENSG00000173821",NA,NA,NA,NA,"ENSG00000222041","ATP6V1H","CDC42EP3"
"CDO1",NA,NA,NA,NA,"PPP1R15A","TMEM123","SAMHD1"
"IRF2BPL",NA,NA,NA,NA,"IER2","CLN8","COL4A2"
"TNS1",NA,NA,NA,NA,"LAMC1","ABCA1","KLF6"
"CNOT8",NA,NA,NA,NA,"PHLDA1","ATP13A3","IFI44"
"FOXO1",NA,NA,NA,NA,"ETS1","NRIP3","CEP68"
"LRRN4CL",NA,NA,NA,NA,"CRIP2","DOT1L","EPHB4"
"NOLC1",NA,NA,NA,NA,"NXF1","MYO9B","RPS4Y1"
"CSRNP1",NA,NA,NA,NA,"TLN1","SYNGR2","ID1"
"IRF3",NA,NA,NA,NA,"ITIH5","SMS","CCND1"
"MAT2A",NA,NA,NA,NA,"PTPRG","ISG20","FOS"
"SFRP2",NA,NA,NA,NA,"FHL1","PPP1R15A","DTX3L"
"GABARAPL1",NA,NA,NA,NA,"DNAJB1","KCTD12","JUN"
"HDAC5",NA,NA,NA,NA,"RASD1","CAPG","FZD4"
"FADS3",NA,NA,NA,NA,"EHBP1L1","RIT1","TNFSF10"
"RBM10",NA,NA,NA,NA,"UACA","TXNRD1","RPS11"
"CDKN1C",NA,NA,NA,NA,"NDUFS2","PARP14","ENSG00000129270"
"MKNK2",NA,NA,NA,NA,"TUBA1A","TALDO1","ENSG00000176170"
"AGAP1",NA,NA,NA,NA,"DDX3Y","PHLDA1","KTN1"
"TSC22D2",NA,NA,NA,NA,"ENSG00000172965","COLEC12","KLF11"
"RBMX",NA,NA,NA,NA,"IRF2BPL","RB1","IER2"
"GPRC5A",NA,NA,NA,NA,"TENT4B","EFHD2","TAF1C"
"ACKR3",NA,NA,NA,NA,"CAP1","TANK","SLC25A25"
"NOP56",NA,NA,NA,NA,"FAT1","EHD1","CD320"
"TMEM100",NA,NA,NA,NA,"HDAC5","S100A4","RESF1"
"MTSS1",NA,NA,NA,NA,"RBM6","SQOR","CPXM2"
"NSMF",NA,NA,NA,NA,"THOC6","CCL20","MT-ND4L"
"TACC2",NA,NA,NA,NA,"ACAP3","RNF130","ACTN4"
"SEMA4C",NA,NA,NA,NA,"GLIPR2","TAGLN2","SVIP"
"SKI",NA,NA,NA,NA,"PICALM","ASAP1","PARP14"
"AHDC1",NA,NA,NA,NA,"ENSG00000152022","DNTTIP2","SH3BP4"
"RHOA",NA,NA,NA,NA,"MYL12A","ENSG00000155130","SPTAN1"
"AES",NA,NA,NA,NA,"ARPC5","MAF","TSHZ2"
"STAT6",NA,NA,NA,NA,"SMTN","RAPGEF1","LAMA4"
"TARDBP",NA,NA,NA,NA,"HIPK2","MT-ND5","TPM3"
"ADD3",NA,NA,NA,NA,"RPS4Y1","NFKBIA","EPB41L3"
"SDR39U1",NA,NA,NA,NA,"NFATC4","ENSG00000222041","FRY"
"ULK1",NA,NA,NA,NA,"NOP2","ANTXR2","MT-ND5"
"GAK",NA,NA,NA,NA,"IFITM1","HLA-A","ISG15"
"KLHL29",NA,NA,NA,NA,"CEBPD","CDC42","TNS2"
"RHOT2",NA,NA,NA,NA,"HNRNPH3","NINJ1","UTRN"
"CBLB",NA,NA,NA,NA,"FERMT2","ACTR2","HOXB3"
"SRSF6",NA,NA,NA,NA,"CCND1","ACTR3","NTHL1"
"SUPT5H",NA,NA,NA,NA,"NDUFV1","ENSG00000273338","CDH13"
"NDUFV1",NA,NA,NA,NA,NA,"TNFRSF14","FLI1"
"CYTH3",NA,NA,NA,NA,NA,"RP2","BHLHE40"
"INAFM1",NA,NA,NA,NA,NA,"NFKBIE","PLEKHG1"
"BAG3",NA,NA,NA,NA,NA,"IL4R","PLCG1"
"UHRF2",NA,NA,NA,NA,NA,"IER3","TMEM173"
"MDM4",NA,NA,NA,NA,NA,"PTPRE","CCNL2"
"AFDN",NA,NA,NA,NA,NA,"YBX1","PRKD2"
"STK24",NA,NA,NA,NA,NA,"ATP6V0D1","JAG1"
"DST",NA,NA,NA,NA,NA,"G0S2","SNRK"
"ST3GAL1",NA,NA,NA,NA,NA,"MAP2K3","ZNF462"
"PLEC",NA,NA,NA,NA,NA,"CD44","GNAQ"
"NARF",NA,NA,NA,NA,NA,"PLXND1","JUNB"
"ERF",NA,NA,NA,NA,NA,"ENSG00000138293","CYTH1"
"HIPK3",NA,NA,NA,NA,NA,"CPEB4","IFI6"
"WDR6",NA,NA,NA,NA,NA,"RGS10","MTUS1"
"KANK2",NA,NA,NA,NA,NA,"BLVRB","RUNX1T1"
"OGA",NA,NA,NA,NA,NA,"IRAK1","ARHGAP31"
"BOC",NA,NA,NA,NA,NA,"CEBPB","AKAP13"
"IDI1",NA,NA,NA,NA,NA,"AP2A2","FNBP1L"
"EIF4G2",NA,NA,NA,NA,NA,"MFHAS1","COL4A1"
"HERPUD1",NA,NA,NA,NA,NA,"FNIP2","DUSP5"
"KMT2E",NA,NA,NA,NA,NA,"ADAM17","GADD45B"
"HGS",NA,NA,NA,NA,NA,"ARL6IP1","TNFRSF10D"
"CREB3L2",NA,NA,NA,NA,NA,"FEM1B","MARCKSL1"
"FHL1",NA,NA,NA,NA,NA,"MAFB","STAB1"
"LPCAT1",NA,NA,NA,NA,NA,"GSTO1","JCAD"
"CXXC1",NA,NA,NA,NA,NA,"GLUL","ADAMTS1"
"NFKB2",NA,NA,NA,NA,NA,"H2AFY","ASAP1"
"SREBF1",NA,NA,NA,NA,NA,"PEA15","SGK1"
"ING1",NA,NA,NA,NA,NA,"SPRED1","CAVIN1"
"CEMIP2",NA,NA,NA,NA,NA,"APOE","TTC19"
"CSNK1D",NA,NA,NA,NA,NA,"SNX2","TJP1"
"SLC1A5",NA,NA,NA,NA,NA,"PABPC1","RASA4"
"NUFIP2",NA,NA,NA,NA,NA,"RNF145","TRIB1"
"DAAM2",NA,NA,NA,NA,NA,"ANXA2","TAPBP"
"CILP2",NA,NA,NA,NA,NA,"TUBA1C","YPEL2"
"SRF",NA,NA,NA,NA,NA,"MYO5A","TMTC1"
"UTRN",NA,NA,NA,NA,NA,"IQGAP1","ARHGEF7"
"INSR",NA,NA,NA,NA,NA,"CELF1","CRACR2B"
"RUSC1",NA,NA,NA,NA,NA,"SLC6A6","GNAI2"
"ITPR3",NA,NA,NA,NA,NA,"ENSG00000260708","MT-ND3"
"HMGCS1",NA,NA,NA,NA,NA,"STK4","CFLAR"
"SF1",NA,NA,NA,NA,NA,"CCDC88A","AFDN"
"THBS1",NA,NA,NA,NA,NA,"MAP3K8","DDX3Y"
"ABCA5",NA,NA,NA,NA,NA,"C2","ARL4A"
"AMD1",NA,NA,NA,NA,NA,"WDR26","TBC1D9"
"CREB5",NA,NA,NA,NA,NA,"PDXK","TAGLN2"
"HP1BP3",NA,NA,NA,NA,NA,"PTGER4","IGFBP4"
"ENSG00000172660",NA,NA,NA,NA,NA,"BAX","FBXO31"
"EML3",NA,NA,NA,NA,NA,"TIPARP","SYNGR2"
"IRS2",NA,NA,NA,NA,NA,"PRKCD","SERPINE1"
"PPP1R3C",NA,NA,NA,NA,NA,"HMGA1","RDX"
"ADAM15",NA,NA,NA,NA,NA,"RAP1B","ADAMTS4"
"CRY2",NA,NA,NA,NA,NA,"DAZAP2","DUSP23"
"ZNF385A",NA,NA,NA,NA,NA,"GLIPR2","FOXP1"
"MACF1",NA,NA,NA,NA,NA,"RALA","CD83"
"ENSG00000269821",NA,NA,NA,NA,NA,"ARPC1B","MGLL"
"MN1",NA,NA,NA,NA,NA,"PPT1","FOSB"
"EPHX1",NA,NA,NA,NA,NA,"ARPC5","IRF2BPL"
"ADGRE5",NA,NA,NA,NA,NA,"LHFPL2","NOL4L"
"SREBF2",NA,NA,NA,NA,NA,"ENSG00000168614","SNAI1"
"DDIT4",NA,NA,NA,NA,NA,"CSGALNACT2","PML"
"ENSG00000234769",NA,NA,NA,NA,NA,"TENT2","MYL12A"
"AKAP13",NA,NA,NA,NA,NA,"APLP2","TACC1"
"DYNLL2",NA,NA,NA,NA,NA,"DUSP23","LRRFIP1"
"CTNNB1",NA,NA,NA,NA,NA,"SNX8","ITGA5"
"TUBA4A",NA,NA,NA,NA,NA,"MEF2C","ABLIM3"
"ABTB1",NA,NA,NA,NA,NA,"PLBD1","ALDH16A1"
"USP22",NA,NA,NA,NA,NA,"CD58","DPYSL2"
"CLSTN1",NA,NA,NA,NA,NA,"FLNA","ATP11C"
"TCF7L2",NA,NA,NA,NA,NA,"PGD","HLA-DPB1"
"SYNE1",NA,NA,NA,NA,NA,"ABHD12","ARGLU1"
"SUN1",NA,NA,NA,NA,NA,"IL6","PLXNA2"
"LUC7L3",NA,NA,NA,NA,NA,"MCOLN1","IKBKB"
"PIEZO1",NA,NA,NA,NA,NA,"NFE2L2","ARID5A"
"ENSG00000242086",NA,NA,NA,NA,NA,"ANPEP","ADAR"
"KLF13",NA,NA,NA,NA,NA,"EIF4A1","SWAP70"
"TMBIM6",NA,NA,NA,NA,NA,"OGFRL1","ITPKB"
"ELMSAN1",NA,NA,NA,NA,NA,"CYP1B1","FRYL"
"MEPCE",NA,NA,NA,NA,NA,"STMN1","CPNE2"
"GADD45A",NA,NA,NA,NA,NA,"ENSG00000068793","ITM2B"
"OMD",NA,NA,NA,NA,NA,"TRA2B","NFIB"
"OLFML3",NA,NA,NA,NA,NA,"SIRPA","INTS3"
"KLF7",NA,NA,NA,NA,NA,"CORO1C","SLC48A1"
"ENSG00000259976",NA,NA,NA,NA,NA,"GLA","UBN1"
"VPS51",NA,NA,NA,NA,NA,"MYL12A","FAM117A"
"HBEGF",NA,NA,NA,NA,NA,"ZNF267","HIPK3"
"LIMA1",NA,NA,NA,NA,NA,"HSP90AA1","HERC1"
"PTOV1",NA,NA,NA,NA,NA,"ARF6","MTA2"
"HYI",NA,NA,NA,NA,NA,"ALDH2","HSP90AB1"
"ASS1",NA,NA,NA,NA,NA,"ENSG00000243452","BRD2"
"SERPINA1",NA,NA,NA,NA,NA,"ADAM9","UACA"
"PHF13",NA,NA,NA,NA,NA,"PNPLA8","HOXD9"
"IGF1R",NA,NA,NA,NA,NA,"RAB5C","UBA7"
"CASC3",NA,NA,NA,NA,NA,"TPRA1","MAPK3"
"CRY1",NA,NA,NA,NA,NA,"BRI3","PIK3R3"
"BAIAP2",NA,NA,NA,NA,NA,"M6PR","PSME1"
"CIC",NA,NA,NA,NA,NA,"PABPN1","ENSG00000233016"
"DNAJA1",NA,NA,NA,NA,NA,"RAP1A","PACS2"
"CTTN",NA,NA,NA,NA,NA,"DNAJB6","EOGT"
"FNBP4",NA,NA,NA,NA,NA,"TNIP1","ZC3HAV1"
"RNF146",NA,NA,NA,NA,NA,"UPP1","ADAM10"
"FXYD1",NA,NA,NA,NA,NA,"ZFYVE16","MBNL1"
"ARID1A",NA,NA,NA,NA,NA,"RAC1","CDC37"
"FOXC1",NA,NA,NA,NA,NA,"MAMDC2","SRRM2"
"MXRA7",NA,NA,NA,NA,NA,"PNP","GIT1"
"OS9",NA,NA,NA,NA,NA,"LITAF","MACF1"
"LRP11",NA,NA,NA,NA,NA,"MTSS1","PPP1R18"
"NONO",NA,NA,NA,NA,NA,"RAB8B","CALM1"
"TRIB1",NA,NA,NA,NA,NA,"YTHDF3","KAT2A"
"MAP1B",NA,NA,NA,NA,NA,"TRIB1","SLC12A2"
"INPPL1",NA,NA,NA,NA,NA,"CEP170","RAPGEF1"
"STOM",NA,NA,NA,NA,NA,"IFNGR2","GSDMD"
"OGDH",NA,NA,NA,NA,NA,"BLVRA","ENSG00000225485"
"DDX39A",NA,NA,NA,NA,NA,"SLC40A1","ENSG00000173821"
"NASP",NA,NA,NA,NA,NA,"RHOF","VEZT"
"PMP22",NA,NA,NA,NA,NA,"ZBTB1","LIPA"
"ZNF703",NA,NA,NA,NA,NA,"TYMP","ATP2B1"
"PRPS1",NA,NA,NA,NA,NA,"PTPN18","NOP53"
"MAP3K8",NA,NA,NA,NA,NA,"ARPC2","HLA-DPA1"
"SREK1",NA,NA,NA,NA,NA,"TCIRG1","RARA"
"SERPINA5",NA,NA,NA,NA,NA,"ABI1","LIFR"
"ZC3H12A",NA,NA,NA,NA,NA,"ABL2","KCTD12"
"ASAP2",NA,NA,NA,NA,NA,"WDR1","UBXN1"
"CITED2",NA,NA,NA,NA,NA,"NUMB","PALMD"
"GDI1",NA,NA,NA,NA,NA,"EVI2A","HSD17B11"
"ZNF704",NA,NA,NA,NA,NA,"CITED2","PLSCR1"
"YPEL3",NA,NA,NA,NA,NA,"B3GNT7","LAP3"
"SLC43A3",NA,NA,NA,NA,NA,"IRAK2","RBM22"
"RBM22",NA,NA,NA,NA,NA,"SWAP70","GAB1"
"PHF10",NA,NA,NA,NA,NA,"RBPJ","ASXL1"
"STARD7",NA,NA,NA,NA,NA,"SH3BGRL","VWA1"
"PTPRM",NA,NA,NA,NA,NA,"CDC42SE1","CCNL1"
"FOSL2",NA,NA,NA,NA,NA,"GYPC","CCDC85B"
"UPF1",NA,NA,NA,NA,NA,"ENSG00000172965","MYLK"
"RND3",NA,NA,NA,NA,NA,"TAOK3","BCL2L1"
"NKTR",NA,NA,NA,NA,NA,"CYCS","IL4R"
"MFAP5",NA,NA,NA,NA,NA,"TMBIM6","JAK1"
"RTL8C",NA,NA,NA,NA,NA,"GNA13","PDIA5"
"CBX4",NA,NA,NA,NA,NA,"ATP6V1A","AHR"
"SORBS3",NA,NA,NA,NA,NA,"GNG5","CDC25B"
"CLK1",NA,NA,NA,NA,NA,"NUP62","NR4A1"
"TNFAIP2",NA,NA,NA,NA,NA,"DENND5A","HNRNPA3"
"CRTAP",NA,NA,NA,NA,NA,"RNF144B","TBCD"
"DVL1",NA,NA,NA,NA,NA,"PLEKHM2","YBX3"
"JDP2",NA,NA,NA,NA,NA,"MGAT1","TMEM204"
"KPNB1",NA,NA,NA,NA,NA,"ENSG00000117289","ARPC1B"
"UBA1",NA,NA,NA,NA,NA,"POMP","ARHGAP17"
"CCDC80",NA,NA,NA,NA,NA,"COX7B","TAOK2"
"USP7",NA,NA,NA,NA,NA,"NRIP1","RBM6"
"IST1",NA,NA,NA,NA,NA,"SMIM4","RPL23"
"PACSIN2",NA,NA,NA,NA,NA,"GAS7","AP1S2"
"LATS2",NA,NA,NA,NA,NA,"ARL8A","CCL2"
"ZBTB21",NA,NA,NA,NA,NA,"CDKN1A","TRIO"
"IDS",NA,NA,NA,NA,NA,"DUSP10","MYC"
"CCN3",NA,NA,NA,NA,NA,"RAB32","PLEC"
"SPEN",NA,NA,NA,NA,NA,"FAM107B","PGGHG"
"ARGLU1",NA,NA,NA,NA,NA,"SNX6","CDC42SE2"
"HNRNPM",NA,NA,NA,NA,NA,"ICAM1","ELMO1"
"CTDSP2",NA,NA,NA,NA,NA,"AKAP13","ATF3"
"LASP1",NA,NA,NA,NA,NA,"NOP10","SH2B3"
"ZEB1",NA,NA,NA,NA,NA,"NEU1","DDX5"
"ZNF521",NA,NA,NA,NA,NA,"ELOC","DLC1"
"PDE4DIP",NA,NA,NA,NA,NA,"FNBP1","UHRF2"
"MYO9B",NA,NA,NA,NA,NA,"BIRC3","HNRNPL"
"PPP1R18",NA,NA,NA,NA,NA,"ENSG00000232956","GNAS"
"VSIR",NA,NA,NA,NA,NA,"ZYX","BMPR2"
"CBX6",NA,NA,NA,NA,NA,"RAB7A","IGFBP7"
"MED15",NA,NA,NA,NA,NA,"PREX1","SLC12A7"
"GBA",NA,NA,NA,NA,NA,"PIM3","FYN"
"INSIG1",NA,NA,NA,NA,NA,"CAPZA1","WWTR1"
"SIN3A",NA,NA,NA,NA,NA,"TMEM70","LRRC8C"
"ANAPC5",NA,NA,NA,NA,NA,"DSE","SUN1"
"YY1AP1",NA,NA,NA,NA,NA,"PRR13","PTPN12"
"RBBP7",NA,NA,NA,NA,NA,"CREM","CDK17"
"IL13RA1",NA,NA,NA,NA,NA,"SERTAD2","APP"
"ODC1",NA,NA,NA,NA,NA,"MXD1","LCAT"
"ZBTB20",NA,NA,NA,NA,NA,"MAFG","TANC1"
"DLGAP4",NA,NA,NA,NA,NA,"MCL1","ITPR1"
"TAF1D",NA,NA,NA,NA,NA,"GNS","DDX17"
"EIF4A3",NA,NA,NA,NA,NA,"MAFF","WNK1"
"ENSG00000186594",NA,NA,NA,NA,NA,"PTGS2","CELF2"
"UBR5",NA,NA,NA,NA,NA,"COMT","IL6ST"
"ELL2",NA,NA,NA,NA,NA,"ABRACL","ENSG00000179094"
"PDGFRA",NA,NA,NA,NA,NA,"PDE4DIP","IER5"
"C6orf62",NA,NA,NA,NA,NA,"BACH1","ARRDC2"
"TAF7",NA,NA,NA,NA,NA,"RNF149","RGL2"
"MYO1C",NA,NA,NA,NA,NA,"PFDN2","HNRNPH1"
"HNRNPA3",NA,NA,NA,NA,NA,"ENSG00000197989","NASP"
"PTBP1",NA,NA,NA,NA,NA,"TAB2","C2CD4B"
"KIAA0930",NA,NA,NA,NA,NA,"RPS6KA3","PIM3"
"MVP",NA,NA,NA,NA,NA,"AP2S1","CAPNS1"
"CRTC2",NA,NA,NA,NA,NA,"ARL4A","PABPC1"
"SRSF4",NA,NA,NA,NA,NA,"CALM3","MAN2C1"
"HTRA3",NA,NA,NA,NA,NA,"ATP6AP1","SP100"
"RUNX1",NA,NA,NA,NA,NA,"VOPP1","LPCAT4"
"KIDINS220",NA,NA,NA,NA,NA,"ATP5MF","EIF4G2"
"SLC38A10",NA,NA,NA,NA,NA,"KPNA4","PROS1"
"VAT1",NA,NA,NA,NA,NA,"LRRFIP1","TLE3"
"ZFHX3",NA,NA,NA,NA,NA,"PPP1R15B","PTPRK"
"TBL1XR1",NA,NA,NA,NA,NA,"HSPE1","MCL1"
"CDK16",NA,NA,NA,NA,NA,"BLOC1S1","ELMSAN1"
"GLUD1",NA,NA,NA,NA,NA,"HSPA1B","LRRC8A"
"SUMF2",NA,NA,NA,NA,NA,"ENSG00000269893","TSC2"
"ENSG00000108292",NA,NA,NA,NA,NA,"HEXB","KMT2E"
"ACADVL",NA,NA,NA,NA,NA,"PLD3","CDC42BPB"
"TMEM43",NA,NA,NA,NA,NA,"HIGD2A","TNFAIP3"
"SERINC3",NA,NA,NA,NA,NA,"ZNF706","ZNF521"
"ENSG00000005955",NA,NA,NA,NA,NA,"ATP6V0E1","HMGN3"
"SYF2",NA,NA,NA,NA,NA,"ATP1B3","DDX3X"
"HK1",NA,NA,NA,NA,NA,"DEK","IFITM1"
"GNL1",NA,NA,NA,NA,NA,"CAPZB","GADD45A"
"PSMC6",NA,NA,NA,NA,NA,"USF2","TRIM28"
"COLGALT2",NA,NA,NA,NA,NA,NA,"PLEKHO2"
"BAG6",NA,NA,NA,NA,NA,NA,"SMCHD1"
NA,NA,NA,NA,NA,NA,NA,"ABLIM1"
NA,NA,NA,NA,NA,NA,NA,"TRIOBP"
NA,NA,NA,NA,NA,NA,NA,"RHOA"
NA,NA,NA,NA,NA,NA,NA,"IRF7"
NA,NA,NA,NA,NA,NA,NA,"ARID1A"
NA,NA,NA,NA,NA,NA,NA,"NOP2"
NA,NA,NA,NA,NA,NA,NA,"NFE2L1"
NA,NA,NA,NA,NA,NA,NA,"FEZ2"
NA,NA,NA,NA,NA,NA,NA,"ZEB1"
NA,NA,NA,NA,NA,NA,NA,"CASP4"
NA,NA,NA,NA,NA,NA,NA,"DNM2"
NA,NA,NA,NA,NA,NA,NA,"PLA2G16"
NA,NA,NA,NA,NA,NA,NA,"PPP1R9B"
NA,NA,NA,NA,NA,NA,NA,"ENSG00000172660"
NA,NA,NA,NA,NA,NA,NA,"BAZ2B"
NA,NA,NA,NA,NA,NA,NA,"CSGALNACT1"
NA,NA,NA,NA,NA,NA,NA,"MAST4"
NA,NA,NA,NA,NA,NA,NA,"RREB1"
NA,NA,NA,NA,NA,NA,NA,"SNRNP70"
NA,NA,NA,NA,NA,NA,NA,"IER5L"
NA,NA,NA,NA,NA,NA,NA,"ICAM4"
NA,NA,NA,NA,NA,NA,NA,"SRSF3"
NA,NA,NA,NA,NA,NA,NA,"RSRP1"
NA,NA,NA,NA,NA,NA,NA,"BCL3"
NA,NA,NA,NA,NA,NA,NA,"CALCOCO2"
NA,NA,NA,NA,NA,NA,NA,"CPT1A"
NA,NA,NA,NA,NA,NA,NA,"PEA15"
NA,NA,NA,NA,NA,NA,NA,"PRMT1"
NA,NA,NA,NA,NA,NA,NA,"CDC42"
NA,NA,NA,NA,NA,NA,NA,"SUPT5H"
NA,NA,NA,NA,NA,NA,NA,"ENSG00000266402"
NA,NA,NA,NA,NA,NA,NA,"RPL36A"
NA,NA,NA,NA,NA,NA,NA,"INSR"
NA,NA,NA,NA,NA,NA,NA,"FRMD8"
NA,NA,NA,NA,NA,NA,NA,"AKAP17A"
NA,NA,NA,NA,NA,NA,NA,"KLF9"
NA,NA,NA,NA,NA,NA,NA,"UPP1"
NA,NA,NA,NA,NA,NA,NA,"CMIP"
NA,NA,NA,NA,NA,NA,NA,"H3F3A"
NA,NA,NA,NA,NA,NA,NA,"DNAJA1"
NA,NA,NA,NA,NA,NA,NA,"SDCBP"
NA,NA,NA,NA,NA,NA,NA,"ASL"
NA,NA,NA,NA,NA,NA,NA,"TJP2"
NA,NA,NA,NA,NA,NA,NA,"TNK2"
NA,NA,NA,NA,NA,NA,NA,"TMOD3"
NA,NA,NA,NA,NA,NA,NA,"CTNND1"
NA,NA,NA,NA,NA,NA,NA,"SHKBP1"
NA,NA,NA,NA,NA,NA,NA,"RAC1"
NA,NA,NA,NA,NA,NA,NA,"SEMA4C"
NA,NA,NA,NA,NA,NA,NA,"RNF44"
NA,NA,NA,NA,NA,NA,NA,"VPS51"
NA,NA,NA,NA,NA,NA,NA,"HEXIM1"
NA,NA,NA,NA,NA,NA,NA,"SEC14L1"
NA,NA,NA,NA,NA,NA,NA,"B4GALT3"
NA,NA,NA,NA,NA,NA,NA,"RGS16"
NA,NA,NA,NA,NA,NA,NA,"NUMA1"
NA,NA,NA,NA,NA,NA,NA,"SPATA13"
NA,NA,NA,NA,NA,NA,NA,"SOGA1"
NA,NA,NA,NA,NA,NA,NA,"LENG8"
NA,NA,NA,NA,NA,NA,NA,"CD59"
NA,NA,NA,NA,NA,NA,NA,"CNST"
NA,NA,NA,NA,NA,NA,NA,"SIGIRR"
NA,NA,NA,NA,NA,NA,NA,"NXF1"
NA,NA,NA,NA,NA,NA,NA,"SRSF7"
NA,NA,NA,NA,NA,NA,NA,"KLF7"
NA,NA,NA,NA,NA,NA,NA,"PLIN2"
NA,NA,NA,NA,NA,NA,NA,"PPP1R10"
NA,NA,NA,NA,NA,NA,NA,"VAMP5"
NA,NA,NA,NA,NA,NA,NA,"PTGIS"
NA,NA,NA,NA,NA,NA,NA,"NDRG1"
NA,NA,NA,NA,NA,NA,NA,"PAN3"
NA,NA,NA,NA,NA,NA,NA,"BTBD7"
NA,NA,NA,NA,NA,NA,NA,"RIPOR1"
NA,NA,NA,NA,NA,NA,NA,"PTK2"
NA,NA,NA,NA,NA,NA,NA,"GAK"
NA,NA,NA,NA,NA,NA,NA,"CRTC2"
NA,NA,NA,NA,NA,NA,NA,"NKTR"
NA,NA,NA,NA,NA,NA,NA,"VASP"
NA,NA,NA,NA,NA,NA,NA,"SMG7"
NA,NA,NA,NA,NA,NA,NA,"LUZP1"
NA,NA,NA,NA,NA,NA,NA,"DIP2A"
NA,NA,NA,NA,NA,NA,NA,"HNRNPA2B1"
NA,NA,NA,NA,NA,NA,NA,"ZMIZ1"
NA,NA,NA,NA,NA,NA,NA,"FOXO4"
NA,NA,NA,NA,NA,NA,NA,"SIK1"
NA,NA,NA,NA,NA,NA,NA,"CDKN1A"
NA,NA,NA,NA,NA,NA,NA,"CCND3"
NA,NA,NA,NA,NA,NA,NA,"SELENOW"
NA,NA,NA,NA,NA,NA,NA,"RNPEPL1"
NA,NA,NA,NA,NA,NA,NA,"FLNA"
NA,NA,NA,NA,NA,NA,NA,"ENSG00000258486"
NA,NA,NA,NA,NA,NA,NA,"ILF3"
NA,NA,NA,NA,NA,NA,NA,"PPP1R2"
NA,NA,NA,NA,NA,NA,NA,"CPSF1"
NA,NA,NA,NA,NA,NA,NA,"PTPRE"
NA,NA,NA,NA,NA,NA,NA,"TSHZ1"
NA,NA,NA,NA,NA,NA,NA,"GRK2"
NA,NA,NA,NA,NA,NA,NA,"CCDC50"
NA,NA,NA,NA,NA,NA,NA,"DYNC1LI2"
NA,NA,NA,NA,NA,NA,NA,"ANP32A"
NA,NA,NA,NA,NA,NA,NA,"XRN2"
NA,NA,NA,NA,NA,NA,NA,"WARS"
NA,NA,NA,NA,NA,NA,NA,"ENSG00000005955"
NA,NA,NA,NA,NA,NA,NA,"USP22"
NA,NA,NA,NA,NA,NA,NA,"MED15"
NA,NA,NA,NA,NA,NA,NA,"IRF2BP2"
NA,NA,NA,NA,NA,NA,NA,"FUS"
NA,NA,NA,NA,NA,NA,NA,"PTBP1"
NA,NA,NA,NA,NA,NA,NA,"TMEM123"
NA,NA,NA,NA,NA,NA,NA,"MSX1"
NA,NA,NA,NA,NA,NA,NA,"SETX"
NA,NA,NA,NA,NA,NA,NA,"SRSF4"
NA,NA,NA,NA,NA,NA,NA,"STARD7"
NA,NA,NA,NA,NA,NA,NA,"RBM10"
NA,NA,NA,NA,NA,NA,NA,"NRGN"
NA,NA,NA,NA,NA,NA,NA,"RBM5"
NA,NA,NA,NA,NA,NA,NA,"ATP1A1"
NA,NA,NA,NA,NA,NA,NA,"WWP1"
NA,NA,NA,NA,NA,NA,NA,"NONO"
NA,NA,NA,NA,NA,NA,NA,"SF3B1"
NA,NA,NA,NA,NA,NA,NA,"FAM193B"
NA,NA,NA,NA,NA,NA,NA,"NLRP1"
NA,NA,NA,NA,NA,NA,NA,"DAPK3"
NA,NA,NA,NA,NA,NA,NA,"FBXW5"
NA,NA,NA,NA,NA,NA,NA,"POLR2A"
NA,NA,NA,NA,NA,NA,NA,"ENSG00000056661"
NA,NA,NA,NA,NA,NA,NA,"GNS"
NA,NA,NA,NA,NA,NA,NA,"TSC22D1"
NA,NA,NA,NA,NA,NA,NA,"S100A16"
NA,NA,NA,NA,NA,NA,NA,"KAT6A"
NA,NA,NA,NA,NA,NA,NA,"CS"
NA,NA,NA,NA,NA,NA,NA,"RBM17"
NA,NA,NA,NA,NA,NA,NA,"FLOT1"
NA,NA,NA,NA,NA,NA,NA,"PHACTR2"
NA,NA,NA,NA,NA,NA,NA,"EML3"
NA,NA,NA,NA,NA,NA,NA,"SPG7"
