"Cluster0","Cluster1","Cluster2","Cluster3","Cluster4","Cluster5","Cluster6","Cluster7"
"HSP90AB1","THY1","TNFRSF11B","EEF1D","RPL34","STEAP4","C5AR1","ARHGEF15"
"BCL6","STMP1","UGDH","RPL35","LGALS3BP","OLFML2A","IL1A","PRKCH"
"CEBPD","C4orf48","GARS","ADM","SERF2","ARHGDIB","CD53","TM4SF18"
"TSPYL2","PPIC","SLC3A2","LOX","PLTP","MT-CYB","ITGAM","ENTPD1"
"CCNL2","C12orf75","PGK1","RPS5","RPL10","AOC3","C15orf48","GIMAP1"
"HSPA1B","LOXL1","ACAN","ASPN","RPLP1","ADAMTS1","ENSG00000006074","CAVIN2"
"SPARCL1","GUK1","PLOD2","NRN1","RPS28","MT1A","LILRB5","MYCT1"
"RPS11","MMP14","PTGES","GABARAPL2","LAMB1","NRARP","F13A1","EDNRB"
"RASD1","UQCR11","ATP1B1","RPL7A","MFAP4","MYL6","LCP2","KDR"
"MT-ND4L","TAGLN2","SCRG1","LUM","CFH","LPP","MS4A7","CYYR1"
"FUS","LOXL2","TGFBI","RPL39","RPL27A","EBF2","ACP5","TMEM273"
"PSAP","BASP1","BIRC2","SAP18","RPL29","SEMA5A","CXCR4","RAPGEF4"
"UBC","ELOB","ASNS","RPL3","S100A6","ACTN4","FCGR2B","MAPK11"
"LMNA","AQP1","GPRC5A","H3F3B","RPL35","PRKG1","SNX10","KANK3"
"DDX3Y","TPM4","RAPH1","RPS14","VCAN","ESAM","CD37","GIMAP4"
"MT-ND3","FSTL1","LARP6","RPS3","RPL39","NES","FPR3","IL3RA"
"IER3","RPL6","PNRC1","CP","RPS27A","CYFIP2","EMB","SOX17"
"NXF1","MICOS10","PAPSS2","RPS13","RPL38","FILIP1L","CLEC7A","EDN1"
"NFIA","RPS27L","CSPG4","RPL31","RPL14","ITGA3","ARRB2","SEMA3F"
"NNMT","ANXA2","ARNTL","RPS19","RPL10A","RBPMS","FCGR3A","DLL4"
"EGR1","TMA7","GCLM","RPS15","RPL19","MYH9","SLCO2B1","FAM107A"
"SNRNP70","CAVIN3","PPP1R14C","RPS20","MT-ND3","ZFP36L1","MPEG1","HSPA12B"
"CEBPB","ENSG00000125726","SMOC1","PTMA","RPL28","ATF3","IL10RA","TEK"
"SLPI","UQCRQ","COL8A1","PFDN5","TSPAN11","CYP26B1","ENSG00000205020","ENSG00000213494"
"SOCS3","TIMP1","CEBPG","RPL8","RPL31","MT-ND2","HPGDS","IL33"
"PKD1","IGFBP5","TM4SF1","GADD45B","RPS24","CAVIN1","PTPRC","MCF2L"
"NDRG2","C1QTNF3","RNF144B","SSR3","ITM2A","C11orf96","MS4A4A","MCTP1"
"MYO15B","ARL4C","USP12","DCN","RPL17","GGT5","GMFG","ROBO4"
"HAS1","AKR7A2","TIFA","RPL38","RPS16","SPEG","NCF1","CRHBP"
"IL16","IFI27","CYLD","SNAI1","FYN","MAP3K20","PIK3R5","GIMAP8"
"LDLR","FAP","TNFRSF10B","TMEM59","RAMP2","MT-ND3","IQGAP2","FAM110D"
"PDK4","CTSB","COLGALT2","DLX5","APOE","ENSG00000128016","CD84","CCM2L"
"LMO2","HCFC1R1","GBE1","SELENOM","HAS2","EPAS1","C3AR1","CCDC69"
"COL6A1","ARF5","HERPUD1","SERTAD1","TAGLN","STOM","CCR1","SEMA6A"
"DHCR24","IFI27L2","TNFRSF12A","RGS16","CALD1","HSPA1A","NLRP3","SYT1"
"RSRP1","CCDC80","PFKP","FRZB","RPS3A","BST2","FERMT3","ENSG00000183018"
"CDKN1A","FAM114A1","PGAM1","COMMD6","C1QTNF4","PDLIM1","GATM","ATP2A3"
"SRSF5","ADAM12","RNF19B","CKS2","IFITM1","LGALS3BP","CPVL","GNG11"
"HES1","CADM1","NFKB1","RPL6","SERPING1","MAP1B","NCF2","F2R"
"IER5L","ATOX1","RFLNB","C12orf57","FGL2","JAG1","ITGAX","PLXND1"
"POLG2","CRABP2","FNDC3B","RPL14","PHLDB2","HSPB1","MNDA","HLA-B"
"ENSG00000117289","PRDX4","CLIC4","H2AFX","RPL24","CCL2","PIK3AP1","F11R"
"ATF3","CLEC11A","SIPA1L2","UBA52","ID3","ISYNA1","GNA15","GPRC5B"
"LENG8","ANAPC11","MIF","TMEM45A","RPL27","CXCL12","FMNL1","ACVRL1"
"SMAD3","CAPZB","SLC38A1","BTF3","MYC","PTMA","LILRB4","CTSH"
"MT1E","HSD3B7","PHGDH","GAPDH","SPRY1","ARHGEF25","HAVCR2","EFNB2"
"ENSG00000214548","CAPS","SHMT2","SUMO2","CCL2","SOCS3","RNASE6","HLA-DRA"
"PPP1R10","PHPT1","PHC2","RPL27","IL6","DSTN","SIGLEC1","HLA-E"
"YBX3","DYNLL1","ARSJ","SOD1","PRSS23","MEF2C","DOK2","CD200"
"C1S","SSC5D","ENPP1","EEF1B2","CCN3","ADIRF","CYTH4","NOTCH4"
"GADD45G","COL14A1","IGFBP3","TNC","KCNE4","CRIM1","KYNU","NES"
"ISLR","NOP10","PDLIM4","NACA","RPS7","LDLR","GPSM3","APOLD1"
"MT1M","HIGD2A","FNIP2","RPS2","PCOLCE","SMARCD3","CLEC5A","BCL6B"
"SOD3","ITGB5","FOSL1","SMOC2","COL6A3","B2M","STXBP2","MRTFB"
"LAG3","C4orf3","ABHD2","RPL10A","OLFML3","PALLD","NCF4","NRARP"
"COL16A1","CUTA","CHMP4B","UQCRB","MYL9","APOLD1","FTH1","JAM2"
"PHLDB1","RHOC","SLC25A28","PRDX4","TFPI","JUN","TAGAP","PTK2B"
"CYBRD1","CAPG","CD55","SEC11A","RPL5","ADAMTS4","CTSZ","LDB2"
"ITGA10","OSTC","COL5A1","NPM1","HSPA1A","COL5A3","RASGRP3","ECE1"
"ACAP3","ATP5ME","ABI1","CILP2","AHR","CSRP1","CD14","ADGRL2"
"PRELP","TRAPPC1","GLS","SOD3","AKAP12","NR4A1","CCRL2","ERG"
"HNRNPL","PPDPF","NUPR1","NR4A2","ZFP36L1","PGM5","EMILIN2","IFI44L"
"TUBB4B","MGST3","CXCL2","PRELP","ENSG00000166147","PGF","LPXN","DLL1"
"RPS4Y1","PDLIM3","BIRC3","CD9","IFITM3","HLA-B","IL10","ENSG00000237697"
"MXRA8","ATP5MF","COL11A1","ARL6IP1","ANGPTL1","TFPI","LTC4S","ARHGEF3"
"IER5","AK1","PIM3","CLEC3A","IGFBP7","KANK2","CD68","ADAM15"
"TRIM28","UBL5","MELTF","FAM162A","RACK1","CLMN","VMO1","SH2D3C"
"ENSG00000267519","NDUFB7","NRP2","TUBB2A","CD63","TNS1","ST3GAL6","HDAC7"
"LTBP3","CEMIP","BZW1","PPP1R15A","ARC","ZEB2","FABP5","PDGFB"
"HLA-E","PLTP","RETREG1","ADIRF","HSP90AA1","IGFBP5","SELENOP","PDLIM1"
"ADAMTS1","GSTP1","SUSD6","SEC61G","CELF2","VCL","CXCL16","SEMA6B"
"CCDC3","SEC61G","DDIT4L","CCNI","CXCL3","KCNE4","TMSB10","ETS2"
"FKBP5","ARPC3","SERTAD2","FBXO2","KCTD12","SLC2A3","PDGFB","AGRN"
"DNAJB1","CRLF1","SLC2A1","JUNB","FOS","PHLDB2","CXCL2","ARAP3"
"MFGE8","DYNLT1","SERPINE1","GEM","RPL36A","KLF6","MT-CO1","MAGI1"
"PGGHG","TREM1","COL13A1","COL12A1","HMCN1","EBF1","TMSB4X","PEAR1"
"NFIB","RAB31","MAST4","H2AFZ","SOCS3","GJC1","DAPK1","NOTCH1"
"DDX5","NDUFB2","MAPKAPK2","TIMP4","LAMA4","INPP5A","TLR2","ICA1"
"KLF9","CLEC3B","LUM","PHLDA2","IFI16","PDGFA","ARHGAP18","CNKSR3"
"COMP","DBI","B3GNT7","DDIT3","GEM","PDGFRB","ENSG00000234883","KCNN3"
"SRSF2","C9orf16","ANGPTL4","COL3A1","MDK","MYC","PLAU","TMSB10"
