"Cluster0","Cluster1","Cluster2","Cluster3","Cluster4","Cluster5","Cluster6","Cluster7","Cluster8","Cluster9","Cluster10","Cluster11","Cluster12","Cluster13","Cluster14"
"KERA","C2CD4B","RASD1","CLU","CHI3L2","PDPN","COL15A1","B2M","MGST1","CYP1B1","NAMPT","A2M","SMC4","NID1","PTPRB"
"SEMA3C","BIRC3","TUBB2A","LUM","OMD","COL6A1","COL6A1","ZFP36L1","CCN5","PLPP3","STMN1","ISYNA1","CD70","CHI3L2","SEMA3B"
"TNMD","CILP","HSPA1B","BMP6","FNDC1","CD24","COL3A1","SGIP1","CXCL1","MAMDC2","BCAM","RGS5","DIAPH3","HTRA1","SFRP1"
"PIK3R1","SCRG1","KLF2","CHAC1","AEBP1","COL1A2","SYNPO","TMSB10","TMEM176B","ARC","ACTB","SFRP4","SLC38A5","AC015912.3","IFIT2"
"NTRK2","SLC7A2","SOCS3","SERPINA1","KDELR3","EDIL3","SMOC1","MUSTN1","KCNE4","C1QTNF4","COX4I2","HLA-B","CRIP1","RASGEF1B","DUSP5"
"FAM180B","IER3","SERTAD1","AK1","TSPAN2","LGALS1","PXDN","ETS2","FYN","FBN1","A1BG","ITGA6","ACTB","WTAP","ZEB2"
"MEGF6","BMP2","ECRG4","ISLR","LEFTY2","FAP","COL6A2","PLXDC1","TMSB10","HSPB8","GADD45B","OLFML2B","SAPCD2","BASP1","LINC00511"
"LEPR","NFKBIZ","SAA1","UGDH","CCN2","CLEC11A","COL1A2","CAMK2N1","B2M","CELF2","FLNC","GGT5","S100A10","HMOX1","ASAP1"
"USP53","TNFAIP6","BHLHE40","PRELP","DPT","COL3A1","S100A4","TMSB4X","TIPARP","CFH","EBF1","ITGA7","TUBB","SCRG1","SH3PXD2A"
"PTGIS","SLC7A5","CITED2","ADGRG2","IL32","DPP4","SORBS2","OLFM2","RAMP2","DPP4","PPP1R14A","JAG1","COL6A3","SGCA","NGFR"
"DEPP1","KLHL21","DDIT3","FAP","ASPN","PDGFRB","BPGM","LOXL2","ARC","CCDC80","TPM1","ACTA2","HMGB2","PTGER4","COL27A1"
"RARRES1","SERPINA3","HSPA1A","ENPP1","VEGFA","ANGPTL1","IGFBP1","PLN","C1QTNF4","B2M","AKAP12","MEF2C","CENPF","LYZ","PAPPA"
"HRCT1","TNFRSF11B","ZC3H12A","ITGB8","ELN","IFI27","SLC5A3","LINC00924","HSD11B1","MYC","KCNMB1","CALD1","GMNN","ERRFI1","AHR"
NA,"CILP2","CHI3L1","LTBP1","FRZB","FRMD6","SQLE","PRSS23","MSC","HMCN1","HSPB1","BAX","PTTG1","IER3","HMGA1"
NA,"DSE","CHI3L2","BCAT1","H19","COL5A2","ANPEP","FAM110B","TMEM100","IGFBP6","HSPB6","OLFML2A","RPL39L","RAPH1","CTSC"
NA,"SDC4","CEBPD","PXYLP1","COL8A1","CERCAM","ABHD2","AC104083.1","VIM","CD99","THBD","HYAL2","CCNA2","CP","ZMAT3"
NA,"HMOX1","SOD3","PLOD2","LSP1","PLTP","AKR1B1","FAT1","SYNJ2","SLPI","ADGRE5","LMCD1","UBE2S","NMB","TPSB2"
NA,"ERRFI1","CSRNP1","INHBA","VKORC1","CDH11","EMP1","LMCD1","ENPP2","FSTL1","HSPB7","GJA4","LOXL1","RGCC","CCL8"
NA,"PPP1R3C","IER5","ACKR3","OGN","CTSB","VKORC1","HEY1","IRX3","RAMP2","BBC3","TMSB4X","PSMC3IP","HLA-DRA","FRMD6"
NA,"DDIT4","DDIT4","PAPSS2","CHPF","DPT","CRTAC1","PLIN2","CELF2","SLIT3","LPP","LOXL2","PTN","SOD2","NEGR1"
NA,"EIF2S2","MIDN","DEFB1","SERPINA3","SYCE1L","C11orf96","STMN1","IL6","FYN","MIDN","PTN","DTYMK","SAT1","HLA-DRB1"
NA,"RGCC","SOX9","AKR1C1","ITGA11","C1QTNF3","FAM180A","SFTA1P","CEBPB","ANXA2","CXCL12","CAMK2N1","CDC20","BGN","ITPRIP"
NA,"NOS2","SERPINA3","CCDC80","ADAMTS2","ACTB","ADAMTS5","KLF11","CHMP1B","SRPX","CACNA1H","EDNRA","ACTN4","MEGF6","NCAM1"
NA,"TUBA1C","MT1M","PTGES","THBS1","MYL9","SDC2","NR4A3","SRPX","SFRP4","TBX2-AS1","MYH9","CENPW","CRLF1","SMC2"
NA,"ACAN","RSRP1","SLC39A14","PYCR1","LMNA","BDKRB1","CD248","CRABP2","ANGPTL1","MAP1B","SCN4B","CKS1B","ATP1B1","SHB"
NA,"FGFBP2","LAG3","CAPS","NNMT","CMTM3","FAP","LZTS1","TSPAN11","ACTG1","IGFBP5","CALCRL","TYMS","FIBIN","S1PR3"
NA,"CEBPD","KDM6B","TGFBI","CA9","CCN5","MRPS6","FZD10","MEDAG","CD44","ZFP36","GIMAP6","RAD51","DNAJB1","KLF3"
NA,"TXNRD1","TXNIP","ANK3","WWP2","EVI2A","LOXL1","FYN","SPHK1","MFAP4","VASN","VCL","PLK1","DSE","CD74"
NA,"CRYAB","NFKBIZ","RETREG1","SERPINA5","SPARC","EMP3","AGRN","HMOX1","CXCL12","CASQ2","HES1","CAPG","SH3BGRL3","SERTAD3"
NA,"NOVA1","ANGPTL7","NRN1","S100A1","TMSB4X","CCND1","ENTPD1","LRRC32","JUN","EPAS1","ADAMTS1","ANLN","VWF","MATN2"
NA,"SLC25A37","IER5L","MXRA5","SLC16A3","TPM4","TYMP","NPNT","INSIG1","CADM3","TINAGL1","CXCL14","FOXM1","CCN1","FGL2"
NA,"NRN1","TSPYL2","ABI3BP","COL2A1","ENAH","NEAT1","PAG1","BCL3","ZFP36L1","SOCS3","NGFR","PLAUR","SLC16A3","DAAM1"
NA,"ACKR3","CP","SMIM14","EMILIN3","ID1","GJA1","TJP2","FTH1","FGFBP2","PDLIM3","MYL9","ACOT7","C1R","CLMN"
NA,"KLF5","CKS2","SERPINA5","CHST6","SLIT3","SLN","GPC3","PLTP","SFRP1","PLN","HEY1","MMP14","CD55","PDGFB"
NA,"HAPLN1","GADD45G","S100A1",NA,"C2","CDH13","ACTB","TNFAIP3","FOSB","ZNF503","NR2F2","YWHAH","EGFL7","PTTG1"
NA,"BAMBI","BBC3","PRG4",NA,"RIN2","CERCAM","AHR","MAP1B","PRSS23","MYLK","TMEM176A","H2AFZ","TIMP1","NID1"
NA,"ARSJ","GLRX","SOX9",NA,"ACTG1","NMB","MYH9","ENAH","C1QTNF3","C12orf75","INMT","SQLE","CYTOR","ST6GAL1"
NA,"SERTAD2","HBEGF","CCND2",NA,"CEMIP","TSPAN2","COL6A2","TUBB2B","TPPP3","NPNT","TINAGL1","RRM2","GNG11","COL14A1"
NA,"RAPH1","SERTAD3","UGP2",NA,"PDLIM3","KLF5","SMIM3","CREB5","MEDAG","GADD45G","COL4A2","ATP2B1","DPT","GPM6B"
NA,"CITED4","ADRB2","TIMP1",NA,"GEM","GAPDH","MARCKSL1","LAMB1","PDGFRB","HSPA6","KLF6","ANTXR2","RDH10","TCIM"
NA,"SLC7A11","BTG2","SLC29A1",NA,"C1R","AK1","TINAGL1","GPRC5A","AQP1","GUCY1B1","PCNA","SORBS2","CXCL1","ITGB4"
NA,"PTGS2","BCL3","TIMP3",NA,"COL12A1","S100A6","LPL","MARCKSL1","THBS2","ATF3","C20orf27","FAM83D","THBS4","VGLL3"
NA,"GARS","PIM1","KCNMA1",NA,"ID3","LTBP1","APOE","FBN1","EMP1","TBX2","PECAM1","MKI67","PDGFA","DLC1"
