"Cluster0","Cluster1","Cluster2","Cluster3","Cluster4","Cluster5","Cluster6","Cluster7","Cluster8","Cluster9","Cluster10","Cluster11","Cluster12","Cluster13","Cluster14"
NA,NA,NA,NA,NA,NA,NA,"FABP5","CDH11",NA,"ITIH5","SGK1","AURKB",NA,"MCAM"
NA,NA,NA,NA,NA,NA,NA,"TBX2","CD74",NA,"KLF11","ITM2A","TPPP3",NA,"HEYL"
NA,NA,NA,NA,NA,NA,NA,"RCAN2","TXN",NA,"CAV1","SELE","FABP5",NA,"LGI4"
NA,NA,NA,NA,NA,NA,NA,"CEBPB","FXYD1",NA,"CEBPB","SLC9A3R2","HYAL2",NA,"FBLN2"
NA,NA,NA,NA,NA,NA,NA,"CCL21","NID1",NA,"STOM","MAFF","CD82",NA,"NEDD9"
NA,NA,NA,NA,NA,NA,NA,"EDNRA","COL18A1",NA,"TUBA1C","PGF","CCNB1",NA,"LINC01783"
NA,NA,NA,NA,NA,NA,NA,"LRRC32","BHLHE40",NA,"CSRNP1","CPE","SHCBP1",NA,"PLAT"
NA,NA,NA,NA,NA,NA,NA,"LAMA5","ID3",NA,"TSC22D1","PCDH17","SMS",NA,"FYN"
NA,NA,NA,NA,NA,NA,NA,"PPP1R12B","CCN3",NA,"RHOB","STMN1","ITPR3",NA,"C1orf56"
NA,NA,NA,NA,NA,NA,NA,"SYTL2","CCL2",NA,"ESAM","CYTOR","NAV2",NA,"HBEGF"
NA,NA,NA,NA,NA,NA,NA,"C20orf27","PLXDC1",NA,"HSPA8","IGFBP2","EIF4EBP1",NA,"FXYD1"
NA,NA,NA,NA,NA,NA,NA,"ANGPT2","APOD",NA,"PHLDB2","CXCL12","ARHGAP11A",NA,"SPARC"
NA,NA,NA,NA,NA,NA,NA,"C1QTNF1","SAMHD1",NA,"C1QTNF1","ADAMTS4","DEPDC1",NA,"ARPC1B"
NA,NA,NA,NA,NA,NA,NA,"KRT18","TMEM119",NA,"PRKG1","RAMP3","ERFE",NA,"COL18A1"
NA,NA,NA,NA,NA,NA,NA,"VCL","ABCA8",NA,"THBS1","ECSCR","FSTL1",NA,"CES1"
NA,NA,NA,NA,NA,NA,NA,"RBPMS","APOE",NA,"SYNPO2","MYC","CENPU",NA,"HSPA1B"
NA,NA,NA,NA,NA,NA,NA,"SOCS3","CD44",NA,"NTRK2","SOX18","CDKN2D",NA,"DUSP4"
NA,NA,NA,NA,NA,NA,NA,"DLC1","HAS2",NA,"CCL21","LGI4","TUBA1C",NA,"ARID5A"
NA,NA,NA,NA,NA,NA,NA,"TCIM","NRP1",NA,"ADAMTS1","NRARP","TUBB6",NA,"LAMA4"
NA,NA,NA,NA,NA,NA,NA,"SEMA5A","ZNF703",NA,"RRAD","EDNRB","NCAPG",NA,"TNFRSF12A"
NA,NA,NA,NA,NA,NA,NA,"LGALS3BP","DIO2",NA,"HSPA1A","GATA2","SERPINE2",NA,"MMP28"
NA,NA,NA,NA,NA,NA,NA,"CSRP1","THY1",NA,"MARCKSL1","HLA-DRB1","LOXL2",NA,"SBSPON"
NA,NA,NA,NA,NA,NA,NA,"NCKAP5","NOTCH3",NA,"PTP4A3","EMCN","JPT1",NA,"SNAI1"
NA,NA,NA,NA,NA,NA,NA,"SLC2A3","SVEP1",NA,"ZEB2","ADAMTS9","ASF1B",NA,"PPP1R15A"
NA,NA,NA,NA,NA,NA,NA,"LAMA4","SCN4B",NA,"LAMA5","CENPF","GAS2L3",NA,"ANXA1"
NA,NA,NA,NA,NA,NA,NA,"RARRES2","IER5L",NA,"IER5","HES4","TJP2",NA,"POU3F1"
NA,NA,NA,NA,NA,NA,NA,"EMX2","ADAMTS1",NA,"RERGL","HSPA6","CENPE",NA,"S100A6"
NA,NA,NA,NA,NA,NA,NA,"AVPR1A","MAP4K4",NA,"EGR3","ANKRD29","CKB",NA,"ATP2B1"
NA,NA,NA,NA,NA,NA,NA,"CDH6","AGT",NA,"TUBB","GUCY1B1","MYBL2",NA,"ARL4D"
NA,NA,NA,NA,NA,NA,NA,"A1BG","MT1A",NA,"FAM107B","ADGRL4","COL4A2",NA,"JARID2"
NA,NA,NA,NA,NA,NA,NA,"NID1","LAMA2",NA,"MAT2A","FLT1","S100A16",NA,"MARCKSL1"
NA,NA,NA,NA,NA,NA,NA,"ABCC9","LGALS3BP",NA,"CCL8","S100A16","MYBL1",NA,"DLX2"
NA,NA,NA,NA,NA,NA,NA,"SLC9A3R2","FGF7",NA,"ZYX","STC1","RRAD",NA,"HSPD1"
NA,NA,NA,NA,NA,NA,NA,"STOM","HSPA6",NA,"HSPB8","TFPI","BAZ1A",NA,"EZH2"
NA,NA,NA,NA,NA,NA,NA,"EHD2","TFPI",NA,"LIMS2","DAAM1","CMIP",NA,"GADD45B"
NA,NA,NA,NA,NA,NA,NA,"FAM162B","NR2F2",NA,"HES4","APOE","BHLHE40",NA,"H2AFZ"
NA,NA,NA,NA,NA,NA,NA,"EBF2","FGL2",NA,"NR4A2","COL5A3","VEGFC",NA,"F3"
NA,NA,NA,NA,NA,NA,NA,"ARHGAP15","FLRT2",NA,"PDK4","ASAP1","ADAMTS2",NA,"RHOB"
NA,NA,NA,NA,NA,NA,NA,"ARHGDIB","C7",NA,"LDB3","IER5","C1QTNF2",NA,"MAT2A"
NA,NA,NA,NA,NA,NA,NA,"MEF2C",NA,NA,"PLK2","DDIT3","CRLF1",NA,"PHLDB2"
NA,NA,NA,NA,NA,NA,NA,"MYLK",NA,NA,"GPRC5C","ACKR1","TXN",NA,"HSP90AA1"
NA,NA,NA,NA,NA,NA,NA,"AOC3",NA,NA,"ISYNA1","RAMP2","PFKP",NA,"HES1"
NA,NA,NA,NA,NA,NA,NA,"EFHD1",NA,NA,"SERTAD1","CDH5","COL5A1",NA,"SKA2"
NA,NA,NA,NA,NA,NA,NA,"TMEM176A",NA,NA,"MRVI1","MMRN2","SYNPO",NA,"IER3"
NA,NA,NA,NA,NA,NA,NA,"ISYNA1",NA,NA,"APOE","ESAM","E2F1",NA,"IQGAP2"
NA,NA,NA,NA,NA,NA,NA,"CARMN",NA,NA,"APOLD1","PCAT19","BPGM",NA,NA
NA,NA,NA,NA,NA,NA,NA,"PRKG1",NA,NA,"CRIM1","NUAK1","CTSB",NA,NA
NA,NA,NA,NA,NA,NA,NA,"HSPA6",NA,NA,"KLF2","PARM1","KIF22",NA,NA
NA,NA,NA,NA,NA,NA,NA,"JAG1",NA,NA,"RGS5",NA,"ATAD2",NA,NA
NA,NA,NA,NA,NA,NA,NA,"TMEM176B",NA,NA,"JAG1",NA,"ZC3HAV1",NA,NA
NA,NA,NA,NA,NA,NA,NA,"STEAP4",NA,NA,"MAFF",NA,"DUSP10",NA,NA
NA,NA,NA,NA,NA,NA,NA,"PLAU",NA,NA,"ITGA3",NA,"COL15A1",NA,NA
NA,NA,NA,NA,NA,NA,NA,"ITGA1",NA,NA,"OLFML2A",NA,"CDK6",NA,NA
NA,NA,NA,NA,NA,NA,NA,"ARHGEF17",NA,NA,"NRARP",NA,"UGDH",NA,NA
NA,NA,NA,NA,NA,NA,NA,"GPM6B",NA,NA,"TXN",NA,"TCF19",NA,NA
NA,NA,NA,NA,NA,NA,NA,"MYO1B",NA,NA,"HSPD1",NA,"CDCA8",NA,NA
NA,NA,NA,NA,NA,NA,NA,"CTSC",NA,NA,"RARRES2",NA,"SULF1",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ADAMTS4",NA,"EMP3",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MGLL",NA,"BAX",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ATP1B2",NA,"RAB32",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EPHA2",NA,"GJA1",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NTRK3",NA,"MAD2L1",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IER5L",NA,"ATP1B1",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PALLD",NA,"CKS2",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ARHGEF17",NA,"S100A6",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RBPMS",NA,"SLC2A3",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SNCG",NA,"KLF6",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HEY2",NA,"ANO1",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EPS8",NA,"EZH2",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TLE1",NA,"MXRA5",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PLEKHO1",NA,"VKORC1",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ITGA7",NA,"ABL2",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PHLDA2",NA,"PTHLH",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ZMYND10",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RCAN1",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NCAM1",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SGO1",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CDCA5",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RFLNB",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PHLDA2",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KIF20A",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"METRNL",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FLNB",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NBL1",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HTRA1",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MAP3K20",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TREM1",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KIF2C",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CYTOR",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENPK",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"POSTN",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ISLR",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PHLDA1",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENPH",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MCM3",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COL5A2",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TPX2",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PPIF",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CDK1",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEAT1",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NQO1",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ADAMTS1",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IGFBP3",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HLA-B",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CIT",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SERPINE1",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TACC3",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KIF23",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COL4A1",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IQGAP3",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FHL2",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HMGB3",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IL11",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CDT1",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KIFC1",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MELK",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANGPTL4",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HELLS",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CLMP",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRG4",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EFHD2",NA,NA
